0‽La maison assassinée‽tt0095567‽Georges Lautner‽Crime, Drama, Mystery‽French‽6.8‽110 min‽N/A
0‽Prisoners of the Sun‽tt0496375‽Roger Christian‽Action, Adventure, Horror‽English‽3.7‽85 min‽N/A
0‽China Cry: A True Story‽tt0101578‽James F. Collier‽Biography, Drama, History‽English‽7‽101 min‽N/A
0‽Eating‽tt0099480‽Henry Jaglom‽Comedy, Drama‽English‽6.4‽110 min‽N/A
1‽Eating‽tt0099480‽Henry Jaglom‽Comedy, Drama‽English‽6.4‽110 min‽N/A
0‽The Killer‽tt0097202‽John Woo‽Action, Crime, Drama‽Cantonese, Mandarin, Japanese‽7.9‽111 min‽N/A
1‽The Killer‽tt0097202‽John Woo‽Action, Crime, Drama‽Cantonese, Mandarin, Japanese‽7.9‽111 min‽N/A
0‽Misplaced‽tt0100158‽Louis Yansen‽Drama‽English‽8.2‽98 min‽N/A
0‽Espérame en el cielo‽tt0092982‽Antonio Mercero‽Comedy‽Spanish‽7.3‽100 min‽N/A
0‽The Godfather: Part III‽tt0099674‽Francis Ford Coppola‽Crime, Drama‽English, Italian, German, Latin‽7.6‽162 min‽N/A
1‽The Godfather: Part III‽tt0099674‽Francis Ford Coppola‽Crime, Drama‽English, Italian, German, Latin‽7.6‽162 min‽N/A
2‽The Godfather: Part III‽tt0099674‽Francis Ford Coppola‽Crime, Drama‽English, Italian, German, Latin‽7.6‽162 min‽N/A
0‽Kindergarten Cop‽tt0099938‽Ivan Reitman‽Comedy, Crime‽English, Spanish‽6.1‽111 min‽N/A
1‽Kindergarten Cop‽tt0099938‽Ivan Reitman‽Comedy, Crime‽English, Spanish‽6.1‽111 min‽N/A
2‽Kindergarten Cop‽tt0099938‽Ivan Reitman‽Comedy, Crime‽English, Spanish‽6.1‽111 min‽N/A
0‽The Bonfire of the Vanities‽tt0099165‽Brian De Palma‽Comedy, Drama, Romance‽English‽5.5‽125 min‽N/A
1‽The Bonfire of the Vanities‽tt0099165‽Brian De Palma‽Comedy, Drama, Romance‽English‽5.5‽125 min‽N/A
0‽The Russia House‽tt0100530‽Fred Schepisi‽Drama, Romance, Thriller‽English, Russian‽6.1‽123 min‽N/A
1‽The Russia House‽tt0100530‽Fred Schepisi‽Drama, Romance, Thriller‽English, Russian‽6.1‽123 min‽N/A
0‽Almost an Angel‽tt0099018‽John Cornell‽Comedy, Drama‽English‽5.4‽95 min‽N/A
1‽Almost an Angel‽tt0099018‽John Cornell‽Comedy, Drama‽English‽5.4‽95 min‽N/A
0‽Mermaids‽tt0100140‽Richard Benjamin‽Comedy, Drama, Romance‽English‽6.6‽110 min‽N/A
1‽Mermaids‽tt0100140‽Richard Benjamin‽Comedy, Drama, Romance‽English‽6.6‽110 min‽N/A
2‽Mermaids‽tt0100140‽Richard Benjamin‽Comedy, Drama, Romance‽English‽6.6‽110 min‽N/A
0‽Look Who's Talking Too‽tt0100050‽Amy Heckerling‽Comedy, Family, Romance‽English‽4.5‽81 min‽N/A
1‽Look Who's Talking Too‽tt0100050‽Amy Heckerling‽Comedy, Family, Romance‽English‽4.5‽81 min‽N/A
0‽The Sheltering Sky‽tt0100594‽Bernardo Bertolucci‽Adventure, Drama‽English, French, Arabic‽6.8‽138 min‽N/A
1‽The Sheltering Sky‽tt0100594‽Bernardo Bertolucci‽Adventure, Drama‽English, French, Arabic‽6.8‽138 min‽N/A
0‽Havana‽tt0099747‽Sydney Pollack‽Drama, Romance, War‽English, Spanish‽6.1‽144 min‽N/A
1‽Havana‽tt0099747‽Sydney Pollack‽Drama, Romance, War‽English, Spanish‽6.1‽144 min‽N/A
0‽The Rookie‽tt0265662‽John Lee Hancock‽Drama, Family, Sport‽English‽7‽127 min‽$75,456,736
1‽The Rookie‽tt0265662‽John Lee Hancock‽Drama, Family, Sport‽English‽7‽127 min‽$75,456,736
2‽The Rookie‽tt0265662‽John Lee Hancock‽Drama, Family, Sport‽English‽7‽127 min‽$75,456,736
0‽Edward Scissorhands‽tt0099487‽Tim Burton‽Drama, Fantasy, Romance‽English‽7.9‽105 min‽N/A
1‽Edward Scissorhands‽tt0099487‽Tim Burton‽Drama, Fantasy, Romance‽English‽7.9‽105 min‽N/A
2‽Edward Scissorhands‽tt0099487‽Tim Burton‽Drama, Fantasy, Romance‽English‽7.9‽105 min‽N/A
0‽Company Business‽tt0101606‽Nicholas Meyer‽Action, Comedy, Crime‽English, Russian, French‽5.6‽98 min‽N/A
0‽Final Approach‽tt0929858‽Armand Mastroianni‽Action, Crime, Thriller‽English‽4.8‽240 min‽N/A
0‽Paper Mask‽tt0100330‽Christopher Morahan‽Drama, Thriller‽English‽6.8‽105 min‽N/A
