‽Grizzly Man‽,‽52‽,‽1148‽,‽46‽
‽Stealth‽,‽35‽,‽679‽,‽32‽
‽Bewitched‽,‽59‽,‽1022‽,‽31‽
‽Melinda and Melinda‽,‽55‽,‽1057‽,‽43‽
‽Are We There Yet?‽,‽18‽,‽560‽,‽18‽
‽Mughal-E-Azam‽,‽5‽,‽116‽,‽0‽
‽Saving Marriage‽,‽10‽,‽266‽,‽7‽
‽10 Questions for the Dalai Lama‽,‽9‽,‽270‽,‽3‽
‽The Real Dirt on Farmer John‽,‽5‽,‽267‽,‽9‽
‽G.I. Jesus‽,‽12‽,‽404‽,‽11‽
‽Black Christmas‽,‽10‽,‽301‽,‽22‽
‽The Good Shepherd‽,‽64‽,‽1299‽,‽38‽
‽Night at the Museum‽,‽32‽,‽812‽,‽28‽
‽We Are Marshall‽,‽15‽,‽732‽,‽30‽
‽Rocky Balboa‽,‽35‽,‽735‽,‽26‽
‽Charlotte's Web‽,‽63‽,‽877‽,‽14‽
‽The Pursuit of Happyness‽,‽65‽,‽851‽,‽37‽
‽Eragon‽,‽16‽,‽306‽,‽8‽
‽Dreamgirls‽,‽60‽,‽1262‽,‽40‽
‽Unaccompanied Minors‽,‽16‽,‽405‽,‽15‽
‽Ever Again‽,‽18‽,‽386‽,‽16‽
‽The Holiday‽,‽61‽,‽705‽,‽24‽
‽Blood Diamond‽,‽52‽,‽959‽,‽47‽
‽Off the Black‽,‽22‽,‽676‽,‽25‽
‽Apocalypto‽,‽43‽,‽1041‽,‽37‽
‽Quantum Hoops‽,‽6‽,‽247‽,‽4‽
‽Aliens vs. Predator: Requiem‽,‽20‽,‽471‽,‽9‽
‽The Water Horse‽,‽12‽,‽296‽,‽9‽
‽The Great Debaters‽,‽57‽,‽964‽,‽23‽
‽Sweeney Todd: The Demon Barber of Fleet Street‽,‽47‽,‽986‽,‽53‽
‽Charlie Wilson's War‽,‽51‽,‽943‽,‽44‽
‽Walk Hard: The Dewey Cox Story‽,‽33‽,‽792‽,‽21‽
‽National Treasure: Book of Secrets‽,‽30‽,‽599‽,‽12‽
‽P.S. I Love You‽,‽65‽,‽699‽,‽34‽
‽The District‽,‽18‽,‽274‽,‽6‽
‽The Singing Revolution‽,‽7‽,‽286‽,‽2‽
‽Half Moon‽,‽12‽,‽277‽,‽10‽
‽I Am Legend‽,‽43‽,‽775‽,‽20‽
‽Alvin and the Chipmunks‽,‽12‽,‽325‽,‽7‽
‽The Perfect Holiday‽,‽30‽,‽405‽,‽10‽
‽The Golden Compass‽,‽44‽,‽951‽,‽26‽
‽Juno‽,‽57‽,‽824‽,‽21‽
‽We Pedal Uphill‽,‽7‽,‽288‽,‽8‽
‽Pageant‽,‽16‽,‽254‽,‽10‽
‽The Curious Case of Benjamin Button‽,‽63‽,‽1083‽,‽23‽
‽Valkyrie‽,‽36‽,‽895‽,‽27‽
‽The Spirit‽,‽35‽,‽583‽,‽15‽
‽Bedtime Stories‽,‽28‽,‽582‽,‽21‽
‽Yes Man‽,‽38‽,‽459‽,‽27‽
‽The Tale of Despereaux‽,‽44‽,‽775‽,‽16‽
‽Seven Pounds‽,‽36‽,‽700‽,‽31‽
‽Rab Ne Bana Di Jodi‽,‽24‽,‽389‽,‽7‽
‽The Day the Earth Stood Still‽,‽29‽,‽685‽,‽31‽
‽Nothing Like the Holidays‽,‽30‽,‽582‽,‽25‽
‽Doubt‽,‽48‽,‽853‽,‽34‽
‽Delgo‽,‽10‽,‽311‽,‽17‽
‽Adam Resurrected‽,‽26‽,‽698‽,‽25‽
‽Cadillac Records‽,‽55‽,‽1071‽,‽31‽
‽Nobel Son‽,‽22‽,‽509‽,‽25‽
‽Let Them Chirp Awhile‽,‽10‽,‽275‽,‽9‽
‽Punisher: War Zone‽,‽9‽,‽313‽,‽33‽
‽Repo Chick‽,‽34‽,‽1004‽,‽37‽
‽Mugabe and the White African‽,‽8‽,‽374‽,‽17‽
‽Living in Emergency‽,‽25‽,‽707‽,‽38‽
‽Mine‽,‽27‽,‽569‽,‽26‽
‽Garbage Dreams‽,‽4‽,‽278‽,‽11‽
‽Old Partner‽,‽21‽,‽482‽,‽16‽
‽Sherlock Holmes‽,‽56‽,‽886‽,‽24‽
‽It's Complicated‽,‽72‽,‽1152‽,‽20‽
‽Alvin and the Chipmunks: The Squeakquel‽,‽10‽,‽385‽,‽7‽
‽Avatar‽,‽78‽,‽1627‽,‽24‽
‽Nine‽,‽32‽,‽834‽,‽31‽
‽Did You Hear About the Morgans?‽,‽27‽,‽651‽,‽17‽
‽Ricky‽,‽25‽,‽635‽,‽27‽
‽Invictus‽,‽61‽,‽1036‽,‽48‽
‽Hannah Free‽,‽18‽,‽371‽,‽5‽
‽Transylmania‽,‽10‽,‽305‽,‽9‽
‽Armored‽,‽31‽,‽580‽,‽41‽
‽Leonard Cohen: Bird on a Wire‽,‽10‽,‽134‽,‽4‽
‽General Orders No. 9‽,‽8‽,‽274‽,‽8‽
‽Queen of the Sun: What Are the Bees Telling Us?‽,‽10‽,‽307‽,‽15‽
‽Hadewijch‽,‽25‽,‽767‽,‽25‽
‽Gulliver's Travels‽,‽55‽,‽968‽,‽29‽
‽Secret Sunshine‽,‽59‽,‽822‽,‽22‽
‽True Grit‽,‽82‽,‽1171‽,‽42‽
‽Little Fockers‽,‽28‽,‽561‽,‽18‽
‽Yogi Bear‽,‽19‽,‽343‽,‽7‽
‽How Do You Know‽,‽44‽,‽714‽,‽34‽
‽Mundane History‽,‽11‽,‽278‽,‽2‽
‽The Fighter‽,‽69‽,‽1262‽,‽48‽
‽The Tourist‽,‽50‽,‽875‽,‽21‽
‽The Chronicles of Narnia: The Voyage of the Dawn Treader‽,‽19‽,‽666‽,‽18‽
‽The Warrior's Way‽,‽23‽,‽514‽,‽17‽
‽Black Swan‽,‽57‽,‽1233‽,‽39‽
‽Hollywood to Dollywood‽,‽20‽,‽337‽,‽12‽
‽Sacrifice‽,‽12‽,‽251‽,‽13‽
‽The City Dark‽,‽11‽,‽335‽,‽16‽
‽Angels Crest‽,‽16‽,‽598‽,‽34‽
‽The Darkest Hour‽,‽24‽,‽528‽,‽15‽
‽War Horse‽,‽72‽,‽1111‽,‽65‽
‽We Bought a Zoo‽,‽36‽,‽879‽,‽26‽
‽The Adventures of Tintin‽,‽57‽,‽1003‽,‽24‽
‽Sherlock Holmes: A Game of Shadows‽,‽18‽,‽552‽,‽18‽
‽Cook County‽,‽10‽,‽216‽,‽6‽
‽Alvin and the Chipmunks: Chipwrecked‽,‽7‽,‽218‽,‽5‽
‽My Piece of the Pie‽,‽26‽,‽703‽,‽23‽
‽Young Adult‽,‽64‽,‽1015‽,‽49‽
‽The Sitter‽,‽24‽,‽494‽,‽12‽
‽New Year's Eve‽,‽29‽,‽730‽,‽25‽
‽One Track Heart: The Story of Krishna Das‽,‽11‽,‽142‽,‽5‽
‽Code of the West‽,‽1‽,‽75‽,‽4‽
‽High Tech, Low Life‽,‽0‽,‽20‽,‽1‽
‽Django Unchained‽,‽71‽,‽1215‽,‽55‽
‽Parental Guidance‽,‽20‽,‽432‽,‽13‽
‽Jack Reacher‽,‽27‽,‽590‽,‽26‽
‽This Is 40‽,‽58‽,‽958‽,‽44‽
‽The Guilt Trip‽,‽24‽,‽507‽,‽32‽
‽Trashed‽,‽9‽,‽181‽,‽11‽
‽The Hobbit: An Unexpected Journey‽,‽52‽,‽922‽,‽35‽
‽The Girl‽,‽20‽,‽681‽,‽31‽
‽The Fitzgerald Family Christmas‽,‽32‽,‽572‽,‽13‽
‽Farewell to Hollywood‽,‽5‽,‽78‽,‽2‽
‽Coldwater‽,‽3‽,‽15‽,‽2‽
‽Northern Light‽,‽2‽,‽29‽,‽0‽
‽Walking the Camino: Six Ways to Santiago‽,‽4‽,‽71‽,‽0‽
‽Justin Bieber's Believe‽,‽8‽,‽201‽,‽1‽
‽The Wolf of Wall Street‽,‽21‽,‽308‽,‽9‽
‽47 Ronin‽,‽13‽,‽235‽,‽6‽
‽The Secret Life of Walter Mitty‽,‽20‽,‽227‽,‽3‽
‽Grudge Match‽,‽11‽,‽278‽,‽7‽
‽Personal Tailor‽,‽2‽,‽69‽,‽3‽
‽All the Light in the Sky‽,‽10‽,‽158‽,‽4‽
‽Anchorman 2: The Legend Continues‽,‽16‽,‽394‽,‽14‽
‽Paradise: Hope‽,‽9‽,‽115‽,‽2‽
‽American Hustle‽,‽45‽,‽685‽,‽18‽
‽The President‽,‽6‽,‽199‽,‽6‽
‽The Hand That Feeds‽,‽1‽,‽55‽,‽1‽
‽Barbecue‽,‽6‽,‽95‽,‽1‽
‽Into the Woods‽,‽17‽,‽295‽,‽18‽
‽The Gambler‽,‽27‽,‽439‽,‽13‽
‽Big Eyes‽,‽21‽,‽444‽,‽12‽
‽Unbroken‽,‽11‽,‽458‽,‽16‽
‽Night at the Museum: Secret of the Tomb‽,‽9‽,‽162‽,‽2‽
‽Annie‽,‽23‽,‽316‽,‽9‽
‽The Hobbit: The Battle of the Five Armies‽,‽5‽,‽162‽,‽9‽
‽Top Five‽,‽58‽,‽629‽,‽21‽
‽The Captive‽,‽2‽,‽68‽,‽8‽
‽Skating to New York‽,‽3‽,‽84‽,‽3‽
‽Expelled‽,‽5‽,‽58‽,‽3‽
‽The Pyramid‽,‽6‽,‽120‽,‽2‽
‽The Foxy Merkins‽,‽3‽,‽77‽,‽1‽
‽Take Care‽,‽2‽,‽15‽,‽0‽
‽Among the Believers‽,‽3‽,‽139‽,‽8‽
‽Olympic Pride, American Prejudice‽,‽10‽,‽102‽,‽3‽
‽A Space Program‽,‽5‽,‽173‽,‽1‽
‽Other People's Children‽,‽2‽,‽57‽,‽4‽
‽Point Break‽,‽11‽,‽158‽,‽6‽
‽The Hateful Eight‽,‽22‽,‽381‽,‽18‽
‽TransFatty Lives‽,‽2‽,‽68‽,‽3‽
‽Joy‽,‽50‽,‽450‽,‽19‽
‽Concussion‽,‽10‽,‽253‽,‽13‽
‽Daddy's Home‽,‽7‽,‽172‽,‽10‽
‽Mr. Six‽,‽3‽,‽75‽,‽5‽
‽45 Years‽,‽18‽,‽301‽,‽11‽
‽He Never Died‽,‽2‽,‽52‽,‽6‽
‽Noma My Perfect Storm‽,‽1‽,‽70‽,‽1‽
‽Son of Saul‽,‽16‽,‽395‽,‽17‽
‽Bajirao Mastani‽,‽4‽,‽90‽,‽2‽
