‽Man on the Moon‽,‽31‽,‽672‽,‽14‽
‽Stuart Little‽,‽27‽,‽734‽,‽19‽
‽Bicentennial Man‽,‽38‽,‽820‽,‽22‽
‽Anna and the King‽,‽33‽,‽826‽,‽22‽
‽Deuce Bigalow: Male Gigolo‽,‽21‽,‽460‽,‽22‽
‽The Green Mile‽,‽41‽,‽818‽,‽24‽
‽Toy Story 2‽,‽41‽,‽794‽,‽9‽
‽Flawless‽,‽28‽,‽583‽,‽31‽
‽End of Days‽,‽19‽,‽664‽,‽24‽
‽A Force More Powerful‽,‽16‽,‽373‽,‽9‽
‽Sleepy Hollow‽,‽36‽,‽893‽,‽21‽
‽Mansfield Park‽,‽44‽,‽851‽,‽29‽
‽Liberty Heights‽,‽48‽,‽936‽,‽24‽
